Identifiant;Gestionnaire;Ville;Rue;Numéro;Complément d'information;Coordonnées;Geo Shape;Code rue (lisrue);Identifiant d'adresse (ICAR / BeStaddress);Date de création;Date de dernière modification;Étage;Code postal;Identifiant de la rue (ICAR / BeStaddress)
4372;SIPPT;Liège;rue des Guillemins;26;Accueil -  - Accueil;50.6295352711, 5.5678865645;"{""coordinates"": [5.5678865645, 50.6295352711], ""type"": ""Point""}";3033;1213889;2023-07-12;2023-07-12;Accueil;4000;7730636
14886;SIPPT;Liège;place du Marché;2;3ème étage -  - 3ème étage;50.6454019754, 5.5756296675;"{""coordinates"": [5.5756296675, 50.6454019754], ""type"": ""Point""}";1057;1872427;01-12-17;2023-07-11;3ème étage;4000;7730010
14858;SIPPT;Liège;boulevard d'Avroy;96;Poste Accueil -  - Poste Accueil;50.636308829, 5.5672847733;"{""coordinates"": [5.5672847733, 50.636308829], ""type"": ""Point""}";2001;1121695;2023-07-12;2023-07-12;Poste Accueil;4000;7729672
4287;SIPPT;Liège;rue Grétry;55;Couloir de la BJ -  - Couloir de la BJ;50.6357709978, 5.580557794;"{""coordinates"": [5.580557794, 50.6357709978], ""type"": ""Point""}";7001;1229172;2023-07-12;2023-07-12;Couloir de la BJ;4020;7731011
14878;SIPPT;Liège;rue de l'Epée;1;3ème étage -  - 3ème étage;50.6451362897, 5.5762378456;"{""coordinates"": [5.5762378456, 50.6451362897], ""type"": ""Point""}";1033;1133272;2023-07-12;2023-07-12;3ème étage;4000;7730455
14859;SIPPT;Liège;quai du Condroz;15;Poste Accueil -  - Poste Accueil;50.6202447581, 5.5836415033;"{""coordinates"": [5.5836415033, 50.6202447581], ""type"": ""Point""}";1212;1117031;2023-07-12;2023-07-12;Poste Accueil;4020;7730125
14891;SIPPT;Liège;rue du Sergent Merx;121;;50.6637306782, 5.5614550329;"{""coordinates"": [5.5614550329, 50.6637306782], ""type"": ""Point""}";8064;1965892;2023-07-12;2023-07-12;;4000;7730885
14868;SIPPT;Liège;Féronstrée;86;5éme étage -  - 5éme étage;50.6464578377, 5.5800180395;"{""coordinates"": [5.5800180395, 50.6464578377], ""type"": ""Point""}";5001;1132544;2023-07-12;2023-07-12;5éme étage;4000;7729833
15831;SIPPT;Liège;Potiérue;5;accessible du lundi au jeudi de 8h30 à 12h30 et de 14h à 16h Le vendredi de 8h30 à 12h30 - rez de chaussée/ Local de soins -  - rez de chaussée/ Local de soins;50.645819119, 5.5789074268;"{""coordinates"": [5.5789074268, 50.645819119], ""type"": ""Point""}";1073;1873476;01-12-17;2023-07-11;rez de chaussée/ Local de soins;4000;7730104
15830;SIPPT;Liège;Potiérue;5;rez de chaussée/ Acueil -  - rez de chaussée/ Acueil;50.645819119, 5.5789074268;"{""coordinates"": [5.5789074268, 50.645819119], ""type"": ""Point""}";1073;1873476;2023-07-12;2023-07-12;rez de chaussée/ Acueil;4000;7730104
15829;SIPPT;Liège;rue Sohet;21;couloir Rez de chaussé -  - couloir Rez de chaussé;50.62740912, 5.5674851041;"{""coordinates"": [5.5674851041, 50.62740912], ""type"": ""Point""}";3076;1438883;2023-07-12;2023-07-12;couloir Rez de chaussé;4000;7731346
14876;SIPPT;Liège;la Batte;10;4eme étage -  - 4eme étage;50.6459846334, 5.5804770643;"{""coordinates"": [5.5804770643, 50.6459846334], ""type"": ""Point""}";5004;1111400;2023-07-12;2023-07-12;4eme étage;4000;7729924
4282;SIPPT;Liège;rue des Oeillets;18;Dans la salle -  - Dans la salle;50.6503379859, 5.5533595085;"{""coordinates"": [5.5533595085, 50.6503379859], ""type"": ""Point""}";4087;1215119;2021-10-20;2021-10-20;Dans la salle;4000;7730682
14894;SIPPT;Liège;rue Gaston Grégoire;23;;50.6420350914, 5.5843927213;"{""coordinates"": [5.5843927213, 50.6420350914], ""type"": ""Point""}";6031;1238504;2023-07-12;2023-07-12;;4020;7730981
